id,rand,name,description,external_url,background_color,back,background,clothes,ears,ears back,face,forehead,glasses,eyes,hair_color,hair,hair back,hair middle,hands,mask,mouth,special1,special2,special3,water,water back,water top
11,0.04005096459,KMCXRP#0011,,,FFFFFF,None,Blue,light blue Hooded sweatshirt,blue Gandamu,blue Gandamu,1,blue Jimu,None,black Shaped,1,black Princess,black Princess,black Princess,1 Index finger,orange jimu,Surprised,None,None,None,Orange,Orange,Orange
12,0.6960494265,KMCXRP#0012,,,FFFFFF,blue Planet,Light Blue,orange Tank top,yellow Headphone1,yellow Headphone1,1,None,navy Cyber,red Drooping,66,red Long,red Long,red Long,1 Index finger,blue Gas mask3,Tongue,None,None,None,Pink,Pink,Pink
13,0.7345284314,KMCXRP#0013,,,FFFFFF,None,Yellow2,red Tank top,light blue Headphone2,light blue Headphone2,1,None,None,red Soft,66,red Braid,red Braid,red Braid,1 Ring,None,Serious,None,None,None,Light Blue,Light Blue,Light Blue
14,0.08681839381,KMCXRP#0014,,,FFFFFF,None,Green,pink Uniform 6,None,None,1,None,None,black Quiet,1,black Long,black Long,black Long,1 Grip,None,Tongue,None,None,Sun green,Purple,Purple,Purple
15,0.3782284069,KMCXRP#0015,,,FFFFFF,blue green Flower,Green,blue Hooded sweatshirt,None,None,5,purple Jimu,None,red Quiet,66,red Princess,red Princess,red Princess,5 Palm,None,Candy,None,None,None,Blue,Blue,Blue
16,0.5097477622,KMCXRP#0016,,,FFFFFF,None,Blue,yellow Shirt,None,None,1,blue green Steampunk,None,brown Round,14,brown Twin tail,brown Twin tail,brown Twin tail,1 Grip,None,Sleepy,None,None,None,Pink,Pink,Pink
17,0.6315156412,KMCXRP#0017,,,FFFFFF,None,Pink,light blue Shirt,red jimu,red jimu,4,purple Jimu,orange jimu,marron Serious,40,marron Princess,marron Princess,marron Princess,4 Piece,light blue jimu,Surprised,None,None,None,Pink,Pink,Pink
18,0.3990231325,KMCXRP#0018,,,FFFFFF,None,Purple,green T-shirt,green Headphone1,green Headphone1,3,None,light blue Eye pad,gray Round,27,gray Princess,gray Princess,gray Princess,3 Ring,purple Normal,Sleepy,None,None,None,Green,Green,Green
19,0.5837582991,KMCXRP#0019,,,FFFFFF,None,Orange,blue greenUniform 9,None,None,4,light blue Jimu,None,black Shaped,1,black Shaggy,black Shaggy,black Shaggy,4 Index finger,None,Neutral,None,None,Glitter,Blue Green,Blue Green,Blue Green
20,0.6424105009,KMCXRP#0020,,,FFFFFF,light blue Gun,Pink,blue greenOverall,orange Zaku,orange Zaku,1,None,None,yellow Cat,79,yellow Shaggy,yellow Shaggy,yellow Shaggy,1 Ring,None,Sleepy,None,None,None,Orange,Orange,Orange
21,0.3060464538,KMCXRP#0021,,,FFFFFF,None,Blue Green,green Shirt,purple Headphone1,purple Headphone1,1,None,purple AR Glasses,yellow Keen,79,yellow Shaggy,yellow Shaggy,yellow Shaggy,1 Piece,None,Tongue,None,None,None,Green,Green,Green
22,0.2851589458,KMCXRP#0022,,,FFFFFF,None,Pink,light blue Kimono,pink Steampunk,pink Steampunk,2,yellow Zaku,None,yellow Soft,79,yellow Braid,yellow Braid,yellow Braid,2 Index finger,blue green jimu,Sleepy,None,None,Sun blue green,Green,Green,Green
23,0.1951476927,KMCXRP#0023,,,FFFFFF,None,Green,pink Uniform 4,None,None,1,None,blue Gandamu,marron Wink,40,marron Shaggy,marron Shaggy,marron Shaggy,1 Grip,pink Gas mask1,Tired,None,purple Kitsune masuk,None,Purple,Purple,Purple
24,0.7242891405,KMCXRP#0024,,,FFFFFF,None,Yellow2,pink Uniform 3,blue Zaku,blue Zaku,1,None,None,orange Cat,53,orange Dango,orange Dango,orange Dango,1 Palm,light blue Gas mask3,Serious,None,None,None,Orange,Orange,Orange
25,0.7893315206,KMCXRP#0025,,,FFFFFF,light blue devil's feather,Blue,green Uniform 2,None,None,1,None,None,orange Shaped,53,orange Long,orange Long,orange Long,1 Piece,None,Smile,None,orange Kitsune masuk,None,Navy,Navy,Navy
26,0.7772170969,KMCXRP#0026,,,FFFFFF,blue green Fish,Blue Green,blue greenHooded sweatshirt,None,None,4,red Jimu,orange jimu,red Eyelashes,66,red Princess,red Princess,red Princess,4 Index finger,None,Tongue,None,None,Sun blue,Green,Green,Green
27,0.7815286849,KMCXRP#0027,,,FFFFFF,yellow Flower,Green,red Shirt,None,None,1,navy Gandamu,purple Zaku,orange Serious,53,orange Bob,orange Bob,orange Bob,1 Piece,None,Candy,None,None,None,Light Blue,Light Blue,Light Blue
28,0.4916376913,KMCXRP#0028,,,FFFFFF,blue Controller,Red,pink Uniform 2,None,None,2,navy Steampunk,None,gray Tigray,27,gray Braid,gray Braid,gray Braid,2 Piece,None,Tongue,Tear,None,None,Green,Green,Green
29,0.0836828135,KMCXRP#0029,,,FFFFFF,pink mechanical feather,Light Blue,green Uniform 4,blue green Steampunk,blue green Steampunk,5,green Zaku,light blue AR Glasses,yellow Soft,79,yellow Bob perm,yellow Bob perm,yellow Bob perm,5 Palm,blue Karasu,Candy,None,None,None,Green,Green,Green
30,0.7263161787,KMCXRP#0030,,,FFFFFF,None,Blue,orange Uniform 4,yellow Gandamu,yellow Gandamu,2,red Gandamu,None,marron Timarron,40,marron Bob,marron Bob,marron Bob,2 Index finger,None,Neutral,None,None,None,Pink,Pink,Pink
31,0.4543886711,KMCXRP#0031,,,FFFFFF,orange Octopus,Orange,navy Overall,None,None,5,navy Gandamu,None,black Eyelashes,1,black Princess,black Princess,black Princess,5 Piece,None,UWU,Tear,None,None,Orange,Orange,Orange
32,0.7352592381,KMCXRP#0032,,,FFFFFF,None,Purple,blue Uniform 9,yellow Zaku,yellow Zaku,2,blue green Jimu,blue Zaku,red Keen,66,red Bob,red Bob,red Bob,2 Piece,yellow Gas mask2,Surprised,None,None,None,Pink,Pink,Pink
33,0.726910125,KMCXRP#0033,,,FFFFFF,None,Orange,orange Uniform 6,None,None,1,red Steampunk,Green jimu,brown Shaped,14,brown Short,brown Short,brown Short,1 Grip,navy Karasu,Surprised,None,None,None,Light Blue,Light Blue,Light Blue
34,0.1066377256,KMCXRP#0034,,,FFFFFF,None,Purple,navy Uniform 9,red jimu,red jimu,4,None,None,yellow Tiyellow,79,yellow Long permanent,yellow Long permanent,yellow Long permanent,4 Grip,None,Candy,None,None,None,Blue Green,Blue Green,Blue Green
35,0.5439666874,KMCXRP#0035,,,FFFFFF,yellow Lightsaber,Orange,green Uniform 7,None,None,1,None,None,marron Serious,40,marron Braid,marron Braid,marron Braid,1 Palm,None,Surprised,None,None,None,Navy,Navy,Navy
36,0.0844113261,KMCXRP#0036,,,FFFFFF,None,Yellow2,blue greenShirt,None,None,4,None,red Eye pad,orange Wink,53,orange Twin tail,orange Twin tail,orange Twin tail,4 Grip,None,Smile,None,None,None,Orange,Orange,Orange
37,0.5874389207,KMCXRP#0037,,,FFFFFF,None,Yellow,orange Uniform 10,None,None,3,orange Steampunk,None,marron Boy,40,marron Short,marron Short,marron Short,3 Palm,None,Tired,None,None,Sun blue,Light Blue,Light Blue,Light Blue
38,0.1920894741,KMCXRP#0038,,,FFFFFF,None,Yellow2,green Uniform 5,None,None,2,None,Green Eye pad,brown Cat,14,brown Braid,brown Braid,brown Braid,2 Palm,None,Serious,None,None,None,Green,Green,Green
39,0.09415516773,KMCXRP#0039,,,FFFFFF,blue Lightsaber,Yellow,purple Hooded sweatshirt,blue green Zaku,blue green Zaku,2,None,light blue AR Glasses,red Keen,66,red Bob,red Bob,red Bob,2 Grip,None,Tired,None,None,Sun yellow,Blue,Blue,Blue
40,0.1073014639,KMCXRP#0040,,,FFFFFF,None,Blue Green,green Uniform 4,yellow Zaku,yellow Zaku,2,None,None,marron Wink,40,marron Long,marron Long,marron Long,2 Piece,None,Surprised,None,None,None,Blue,Blue,Blue
41,0.3726020154,KMCXRP#0041,,,FFFFFF,None,Purple,light blue Uniform 7,orange Steampunk,orange Steampunk,2,blue green Jimu,purple Gandamu,gray Tigray,27,gray Bob perm,gray Bob perm,gray Bob perm,2 Piece,orange Gas mask3,Tongue,None,None,None,Red,Red,Red
42,0.3413221769,KMCXRP#0042,,,FFFFFF,None,Yellow,red T-shirt,purple Karasu,purple Karasu,5,purple Gandamu,pink Round glasses,brown Eyelashes,14,brown Long permanent,brown Long permanent,brown Long permanent,5 Ring,orange Gas mask3,Tired,None,None,None,Blue Green,Blue Green,Blue Green
43,0.6197850353,KMCXRP#0043,,,FFFFFF,orange Lightsaber,Yellow,green Hooded sweatshirt,None,None,4,green Zaku,None,marron Quiet,40,marron Long,marron Long,marron Long,4 Grip,None,Candy,None,None,None,Yellow,Yellow,Yellow
44,0.6635063731,KMCXRP#0044,,,FFFFFF,blue Gun,Blue,yellow Uniform 2,blue jimu,blue jimu,1,None,light blue Scouter,black Shaped,1,black Long,black Long,black Long,1 Piece,purple Gas mask1,Tired,None,None,None,Purple,Purple,Purple
45,0.5132217748,KMCXRP#0045,,,FFFFFF,None,Green,pink Hooded sweatshirt,green Headphone1,green Headphone1,4,None,orange Gandamu,orange Shaped,53,orange Dango,orange Dango,orange Dango,4 Index finger,None,Happy,None,None,None,Green,Green,Green
46,0.596452733,KMCXRP#0046,,,FFFFFF,None,Yellow,blue Uniform 10,None,None,1,None,None,brown Cat,14,brown Braid,brown Braid,brown Braid,1 Grip,purple Gas mask3,Sleepy,None,None,None,Yellow,Yellow,Yellow
47,0.391461572,KMCXRP#0047,,,FFFFFF,None,Yellow2,red Uniform 2,yellow Headphone2,yellow Headphone2,5,None,blue green Karasu,gray Rounded,27,gray Long permanent,gray Long permanent,gray Long permanent,5 Index finger,pink Gas mask2,UWU,None,None,None,Navy,Navy,Navy
48,0.1789994869,KMCXRP#0048,,,FFFFFF,None,Yellow,orange Uniform 1,None,None,2,None,None,yellow Wink,79,yellow Long permanent,yellow Long permanent,yellow Long permanent,2 Ring,None,Tired,None,None,None,Green,Green,Green
49,0.7995129395,KMCXRP#0049,,,FFFFFF,None,Red,red Kimono,None,None,5,light blue Gandamu,None,brown Soft,14,brown Long permanent,brown Long permanent,brown Long permanent,5 Ring,None,Serious,None,None,None,Green,Green,Green
50,0.5518232384,KMCXRP#0050,,,FFFFFF,None,Blue Green,yellow Kimono,None,None,2,green Jimu,None,gray Tigray,27,gray Shaggy,gray Shaggy,gray Shaggy,2 Grip,yellow Steampunk,Happy,None,None,None,Purple,Purple,Purple
51,0.3656572822,KMCXRP#0051,,,FFFFFF,None,Yellow,red Overall,pink Steampunk,pink Steampunk,4,blue Jimu,navy jimu,marron Quiet,40,marron Long,marron Long,marron Long,4 Ring,None,Smile,None,None,None,Light Blue,Light Blue,Light Blue
52,0.5310732881,KMCXRP#0052,,,FFFFFF,blue green Controller,Blue Green,purple Uniform 9,yellow jimu,yellow jimu,4,None,purple Steampunk,black Serious,1,black Bob perm,black Bob perm,black Bob perm,4 Index finger,None,Candy,None,None,None,Orange,Orange,Orange
53,0.3865009732,KMCXRP#0053,,,FFFFFF,None,Green,green T-shirt,None,None,2,pink Jimu,yellow Zaku,marron Round,40,marron Princess,marron Princess,marron Princess,2 Palm,blue Karasu,Tired,None,purple Hannya mask,None,Blue Green,Blue Green,Blue Green
54,0.9813514852,KMCXRP#0054,,,FFFFFF,blue devil's feather,Yellow2,blue greenUniform 8,navy jimu,navy jimu,5,None,None,red Serious,66,red Bob,red Bob,red Bob,5 Palm,Green Gas mask2,Happy,None,None,None,Navy,Navy,Navy
55,0.7615570383,KMCXRP#0055,,,FFFFFF,None,Light Blue,navy OL,None,None,1,None,None,marron Keen,40,marron Bob,marron Bob,marron Bob,1 Palm,None,Sleepy,None,None,None,Blue,Blue,Blue
56,0.5282942516,KMCXRP#0056,,,FFFFFF,None,Yellow2,blue Sukajan,light blue Headphone1,light blue Headphone1,2,green Gandamu,navy Gandamu,yellow Rounded,79,yellow Shaggy,yellow Shaggy,yellow Shaggy,2 Grip,blue Zaku,Candy,None,yellow Beam,None,Blue Green,Blue Green,Blue Green
57,0.5615644833,KMCXRP#0057,,,FFFFFF,None,Purple,light blue Jersey,None,None,5,navy Steampunk,yellow Eye pad,brown Shaped,14,brown Bob,brown Bob,brown Bob,5 Index finger,None,Sleepy,None,None,None,Orange,Orange,Orange
58,0.5265057605,KMCXRP#0058,,,FFFFFF,None,Red,green Hooded sweatshirt,None,None,1,light blue Gandamu,None,yellow Rounded,79,yellow Long permanent,yellow Long permanent,yellow Long permanent,1 Index finger,None,Serious,None,None,None,Blue,Blue,Blue
59,0.2011901056,KMCXRP#0059,,,FFFFFF,None,Blue Green,blue greenUniform 7,None,None,2,None,None,orange Quiet,53,orange Shaggy,orange Shaggy,orange Shaggy,2 Grip,navy Gandamu,Happy,None,None,None,Blue Green,Blue Green,Blue Green
60,0.5497300561,KMCXRP#0060,,,FFFFFF,None,Yellow2,yellow T-shirt,blue green Karasu,blue green Karasu,5,purple Zaku,pink Cyber,red Rounded,66,red Bob perm,red Bob perm,red Bob perm,5 Grip,purple Zaku,Sleepy,None,None,None,Blue,Blue,Blue
61,0.9723743194,KMCXRP#0061,,,FFFFFF,orange Fish,Blue Green,blue greenChina,green jimu,green jimu,4,green Steampunk,None,marron Drooping,40,marron Shaggy,marron Shaggy,marron Shaggy,4 Index finger,blue Zaku,Neutral,None,None,None,Green,Green,Green
62,0.341662694,KMCXRP#0062,,,FFFFFF,None,Blue Green,blue Overall,None,None,1,yellow Steampunk,navy Scouter,orange Drooping,53,orange Short,orange Short,orange Short,1 Index finger,blue Gas mask2,Sleepy,None,None,None,Navy,Navy,Navy
63,0.2756723679,KMCXRP#0063,,,FFFFFF,None,Yellow,red Shirt,None,None,1,orange Jimu,None,red Rounded,66,red Bob perm,red Bob perm,red Bob perm,1 Grip,None,Candy,None,None,None,Orange,Orange,Orange
64,0.7680400287,KMCXRP#0064,,,FFFFFF,None,Pink,yellow Tank top,navy Headphone1,navy Headphone1,3,None,navy Zaku,yellow Rounded,79,yellow Short,yellow Short,yellow Short,3 Palm,None,Smile,None,None,None,Blue Green,Blue Green,Blue Green
65,0.8504163145,KMCXRP#0065,,,FFFFFF,None,Yellow2,blue greenSukajan,None,None,5,None,None,gray Quiet,27,gray Short,gray Short,gray Short,5 Grip,None,Serious,None,None,Sun red,Orange,Orange,Orange
66,0.9695838458,KMCXRP#0066,,,FFFFFF,None,Green,red Uniform 6,pink Gandamu,pink Gandamu,5,None,None,black Tiblack,1,black Bob perm,black Bob perm,black Bob perm,5 Palm,None,UWU,None,None,None,Orange,Orange,Orange
67,0.3779214253,KMCXRP#0067,,,FFFFFF,navy Fish,Yellow2,green Uniform 8,None,None,4,None,light blue Round glasses,black Round,1,black Princess,black Princess,black Princess,4 Index finger,blue Gandamu,Candy,None,None,None,Purple,Purple,Purple
68,0.5226214053,KMCXRP#0068,,,FFFFFF,red Controller,Pink,orange Uniform 5,None,None,3,None,None,brown Shaped,14,brown Braid,brown Braid,brown Braid,3 Piece,None,Happy,None,None,Glitter,Blue,Blue,Blue
69,0.1334483597,KMCXRP#0069,,,FFFFFF,blue Flower,Light Blue,yellow OL,purple Headphone2,purple Headphone2,5,None,None,orange Rounded,53,orange Twin tail,orange Twin tail,orange Twin tail,5 Grip,blue green Zaku,UWU,None,None,None,Blue,Blue,Blue
70,0.8769733421,KMCXRP#0070,,,FFFFFF,blue Controller,Yellow,green Uniform 6,blue green Steampunk,blue green Steampunk,1,None,None,brown Quiet,14,brown Short,brown Short,brown Short,1 Ring,None,Surprised,None,None,None,Orange,Orange,Orange
71,0.650996005,KMCXRP#0071,,,FFFFFF,None,Yellow2,navy Overall,None,None,1,blue Jimu,None,yellow Shaped,79,yellow Princess,yellow Princess,yellow Princess,1 Ring,None,Smile,Tattoo,None,Sun pink,Navy,Navy,Navy
72,0.8318558471,KMCXRP#0072,,,FFFFFF,None,Purple,navy Uniform 7,red Headphone2,red Headphone2,4,orange Zaku,red Round glasses,yellow Serious,79,yellow Shaggy,yellow Shaggy,yellow Shaggy,4 Index finger,None,Surprised,None,None,Sun orange,Navy,Navy,Navy
73,0.2896566519,KMCXRP#0073,,,FFFFFF,None,Red,red Uniform 2,None,None,5,None,None,brown Soft,14,brown Long,brown Long,brown Long,5 Index finger,None,Serious,None,None,None,Light Blue,Light Blue,Light Blue
74,0.0185549189,KMCXRP#0074,,,FFFFFF,None,Yellow2,green Uniform 3,None,None,3,None,None,brown Round,14,brown Princess,brown Princess,brown Princess,3 Piece,navy Gas mask1,Candy,None,None,None,Yellow,Yellow,Yellow
75,0.9412506797,KMCXRP#0075,,,FFFFFF,None,Pink,yellow Shirt,yellow Headphone2,yellow Headphone2,5,purple Gandamu,None,orange Wink,53,orange Twin tail,orange Twin tail,orange Twin tail,5 Piece,None,Tired,None,None,None,Blue,Blue,Blue
76,0.7376015621,KMCXRP#0076,,,FFFFFF,pink mechanical feather,Yellow,light blue Hooded sweatshirt,light blue Steampunk,light blue Steampunk,4,None,blue green AR Glasses,gray Shaped,27,gray Short,gray Short,gray Short,4 Palm,navy Gandamu,Happy,None,None,None,Navy,Navy,Navy
77,0.07694027177,KMCXRP#0077,,,FFFFFF,None,Green,blue greenUniform 3,None,None,3,None,pink Zaku,red Boy,66,red Princess,red Princess,red Princess,3 Palm,None,UWU,None,None,Sun orange,Blue,Blue,Blue
78,0.5178341311,KMCXRP#0078,,,FFFFFF,None,Pink,green OL,blue green jimu,blue green jimu,5,None,None,marron Eyelashes,40,marron Twin tail,marron Twin tail,marron Twin tail,5 Palm,Green Zaku,Serious,None,None,None,Blue,Blue,Blue
79,0.7167851628,KMCXRP#0079,,,FFFFFF,None,Blue,purple Uniform 3,green Steampunk,green Steampunk,2,None,None,yellow Wink,79,yellow Short,yellow Short,yellow Short,2 Palm,navy Gas mask2,Tired,None,None,None,Yellow,Yellow,Yellow
80,0.1604287302,KMCXRP#0080,,,FFFFFF,None,Blue,pink Uniform 6,light blue Steampunk,light blue Steampunk,2,light blue Jimu,None,brown Boy,14,brown Short,brown Short,brown Short,2 Piece,None,UWU,Tear,None,None,Purple,Purple,Purple
81,0.432666964,KMCXRP#0081,,,FFFFFF,purple Lightsaber,Red,navy Shirt,light blue Steampunk,light blue Steampunk,4,None,None,orange Boy,53,orange Short,orange Short,orange Short,4 Ring,None,UWU,None,None,None,Green,Green,Green
82,0.05368710864,KMCXRP#0082,,,FFFFFF,None,Blue Green,purple Kimono,None,None,5,green Zaku,None,orange Boy,53,orange Twin tail,orange Twin tail,orange Twin tail,5 Piece,blue Gandamu,Serious,None,None,None,Orange,Orange,Orange
83,0.01420750881,KMCXRP#0083,,,FFFFFF,None,Purple,blue greenUniform 8,None,None,3,pink Steampunk,None,black Quiet,1,black Twin tail,black Twin tail,black Twin tail,3 Ring,None,Sleepy,None,None,None,Light Blue,Light Blue,Light Blue
84,0.2106968347,KMCXRP#0084,,,FFFFFF,None,Light Blue,orange Uniform 7,orange Headphone1,orange Headphone1,5,pink Jimu,None,yellow Soft,79,yellow Princess,yellow Princess,yellow Princess,5 Piece,yellow Normal,Candy,None,None,None,Yellow,Yellow,Yellow
85,0.1824070849,KMCXRP#0085,,,FFFFFF,blue green Flower,Blue Green,pink Uniform 7,None,None,5,None,None,brown Drooping,14,brown Dango,brown Dango,brown Dango,5 Palm,None,Sleepy,None,None,None,Purple,Purple,Purple
86,0.8241445682,KMCXRP#0086,,,FFFFFF,light blue Octopus,Pink,light blue Overall,None,None,3,yellow Zaku,None,red Eyelashes,66,red Dango,red Dango,red Dango,3 Palm,None,Surprised,None,None,None,Purple,Purple,Purple
87,0.6105185194,KMCXRP#0087,,,FFFFFF,None,Red,orange Uniform 9,None,None,5,None,None,brown Drooping,14,brown Bob perm,brown Bob perm,brown Bob perm,5 Piece,None,Happy,None,red Hannya mask,None,Yellow,Yellow,Yellow
88,0.4484246004,KMCXRP#0088,,,FFFFFF,None,Yellow2,orange Uniform 10,yellow Zaku,yellow Zaku,2,yellow Steampunk,None,gray Shaped,27,gray Short,gray Short,gray Short,2 Ring,None,UWU,None,None,None,Green,Green,Green
89,0.2805672701,KMCXRP#0089,,,FFFFFF,yellow Gun,Pink,green Uniform 4,yellow Headphone2,yellow Headphone2,4,None,orange Steampunk,brown Round,14,brown Twin tail,brown Twin tail,brown Twin tail,4 Grip,None,Happy,None,None,None,Green,Green,Green
90,0.02221600058,KMCXRP#0090,,,FFFFFF,None,Purple,purple T-shirt,green Zaku,green Zaku,4,blue green Jimu,purple Scouter,marron Serious,40,marron Braid,marron Braid,marron Braid,4 Index finger,orange Karasu,Neutral,None,None,None,Blue,Blue,Blue
91,0.7819649509,KMCXRP#0091,,,FFFFFF,None,Purple,pink Kimono,None,None,1,None,pink Cyber,marron Serious,40,marron Long,marron Long,marron Long,1 Palm,None,Happy,None,None,None,Green,Green,Green
92,0.414004207,KMCXRP#0092,,,FFFFFF,None,Yellow2,red Tank top,None,None,2,pink Jimu,None,brown Keen,14,brown Princess,brown Princess,brown Princess,2 Ring,None,Sleepy,None,None,None,Navy,Navy,Navy
93,0.8515084837,KMCXRP#0093,,,FFFFFF,None,Orange,purple Kimono,red jimu,red jimu,5,None,blue green jimu,brown Tibrown,14,brown Long,brown Long,brown Long,5 Grip,red Gas mask1,Serious,None,red Beam,None,Navy,Navy,Navy
94,0.6033255089,KMCXRP#0094,,,FFFFFF,None,Green,navy Overall,None,None,1,None,None,red Quiet,66,red Dango,red Dango,red Dango,1 Index finger,blue green Normal,Serious,None,None,None,Red,Red,Red
95,0.2079967026,KMCXRP#0095,,,FFFFFF,green Controller,Red,yellow Overall,yellow Karasu,yellow Karasu,5,None,None,gray Soft,27,gray Long permanent,gray Long permanent,gray Long permanent,5 Grip,light blue Normal,Sleepy,None,None,None,Red,Red,Red
96,0.8621636697,KMCXRP#0096,,,FFFFFF,None,Yellow2,blue Tank top,pink Headphone1,pink Headphone1,2,blue green Steampunk,red Zaku,gray Drooping,27,gray Long permanent,gray Long permanent,gray Long permanent,2 Grip,None,Surprised,None,None,None,Orange,Orange,Orange
97,0.3866482183,KMCXRP#0097,,,FFFFFF,None,Pink,yellow OL,None,None,3,green Zaku,blue Steampunk,yellow Round,79,yellow Bob,yellow Bob,yellow Bob,3 Ring,None,Happy,None,None,None,Navy,Navy,Navy
98,0.7499072872,KMCXRP#0098,,,FFFFFF,None,Orange,purple Overall,blue green Headphone1,blue green Headphone1,1,None,None,gray Boy,27,gray Dango,gray Dango,gray Dango,1 Grip,None,Tired,Tattoo,None,None,Blue,Blue,Blue
99,0.8060037526,KMCXRP#0099,,,FFFFFF,None,Light Blue,purple Uniform 8,None,None,3,None,pink Karasu,red Cat,66,red Long permanent,red Long permanent,red Long permanent,3 Grip,None,Tongue,None,None,Sun blue green,Green,Green,Green
100,0.5231822656,KMCXRP#0100,,,FFFFFF,light blue Angel Wings,Green,purple Uniform 1,None,None,2,None,None,brown Eyelashes,14,brown Dango,brown Dango,brown Dango,2 Ring,purple Normal,Surprised,None,None,None,Light Blue,Light Blue,Light Blue
101,0.07120977771,KMCXRP#0101,,,FFFFFF,navy Planet,Yellow2,blue Uniform 10,None,None,2,None,None,gray Soft,27,gray Twin tail,gray Twin tail,gray Twin tail,2 Grip,orange Zaku,Smile,None,None,None,Orange,Orange,Orange
102,0.8459357673,KMCXRP#0102,,,FFFFFF,None,Light Blue,orange Uniform 9,None,None,5,None,None,red Drooping,66,red Princess,red Princess,red Princess,5 Grip,yellow Gas mask2,Smile,None,None,None,Pink,Pink,Pink
103,0.5412966378,KMCXRP#0103,,,FFFFFF,pink Planet,Purple,blue greenUniform 5,None,None,5,None,None,marron Timarron,40,marron Short,marron Short,marron Short,5 Piece,None,UWU,Tear,None,None,Light Blue,Light Blue,Light Blue
104,0.8882158884,KMCXRP#0104,,,FFFFFF,green Octopus,Orange,blue greenSukajan,light blue Gandamu,light blue Gandamu,5,None,None,brown Boy,14,brown Twin tail,brown Twin tail,brown Twin tail,5 Palm,None,Happy,None,None,None,Blue,Blue,Blue
105,0.363696308,KMCXRP#0105,,,FFFFFF,yellow Planet,Light Blue,orange China,blue green Karasu,blue green Karasu,5,None,None,red Wink,66,red Short,red Short,red Short,5 Grip,blue green Zaku,Smile,None,None,Sun purple,Navy,Navy,Navy
106,0.9626411892,KMCXRP#0106,,,FFFFFF,None,Orange,pink Uniform 10,light blue Zaku,light blue Zaku,3,green Gandamu,purple Eye pad,marron Quiet,40,marron Braid,marron Braid,marron Braid,3 Ring,pink Normal,Happy,None,None,None,Purple,Purple,Purple
107,0.5468335042,KMCXRP#0107,,,FFFFFF,light blue Controller,Blue Green,orange Hooded sweatshirt,None,None,3,None,None,gray Wink,27,gray Dango,gray Dango,gray Dango,3 Grip,None,Happy,None,None,None,Green,Green,Green
108,0.4696904742,KMCXRP#0108,,,FFFFFF,None,Light Blue,blue Uniform 4,None,None,4,None,None,marron Keen,40,marron Bob perm,marron Bob perm,marron Bob perm,4 Palm,None,Neutral,None,None,None,Red,Red,Red
