id,rand,name,description,external_url,background_color,back,background,clothes,ears,ears back,face,forehead,glasses,eyes,hair_color,hair,hair back,hair middle,hands,mask,mouth,special1,special2,special3,water,water back,water top
5057,0.471486149,KMCXRP#5057,,,FFFFFF,None,Purple,pink Tank top,light blue Headphone1,light blue Headphone1,2,None,None,orange Cat,53,orange Long permanent,orange Long permanent,orange Long permanent,2 Index finger,None,Surprised,None,None,None,Orange,Orange,Orange
5058,0.378364179,KMCXRP#5058,,,FFFFFF,None,Yellow,green Overall,light blue jimu,light blue jimu,2,navy Zaku,None,orange Soft,53,orange Bob perm,orange Bob perm,orange Bob perm,2 Ring,None,Happy,None,None,Sun yellow,Blue,Blue,Blue
5059,0.654101726,KMCXRP#5059,,,FFFFFF,None,Purple,orange Kimono,None,None,3,None,None,black Eyelashes,1,black Princess,black Princess,black Princess,3 Index finger,purple jimu,Smile,None,None,None,Orange,Orange,Orange
5060,0.592699385,KMCXRP#5060,,,FFFFFF,None,Yellow,purple Hooded sweatshirt,yellow Zaku,yellow Zaku,5,blue green Steampunk,None,red Rounded,66,red Twin tail,red Twin tail,red Twin tail,5 Piece,None,Tongue,None,None,None,Red,Red,Red
5061,0.701465511,KMCXRP#5061,,,FFFFFF,light blue Controller,Purple,blue Hooded sweatshirt,None,None,1,None,None,gray Serious,27,gray Princess,gray Princess,gray Princess,1 Piece,pink Steampunk,Neutral,None,None,None,Blue,Blue,Blue
5062,0.283776082,KMCXRP#5062,,,FFFFFF,None,Orange,blue Hooded sweatshirt,light blue Karasu,light blue Karasu,2,None,None,gray Tigray,27,gray Braid,gray Braid,gray Braid,2 Piece,None,Tongue,None,None,Sun blue green,Blue,Blue,Blue
5063,0.48514154,KMCXRP#5063,,,FFFFFF,None,Red,light blue Hooded sweatshirt,navy Zaku,navy Zaku,1,None,None,marron Timarron,40,marron Long permanent,marron Long permanent,marron Long permanent,1 Ring,None,Tongue,None,blue green Hannya mask,None,Light Blue,Light Blue,Light Blue
5064,0.174220083,KMCXRP#5064,,,FFFFFF,orange mechanical feather,Yellow,yellow Uniform 2,blue green Gandamu,blue green Gandamu,4,None,None,black Boy,1,black Shaggy,black Shaggy,black Shaggy,4 Ring,None,Smile,None,None,Sun pink,Orange,Orange,Orange
5065,0.575328793,KMCXRP#5065,,,FFFFFF,None,Orange,blue Uniform 6,None,None,5,None,None,gray Boy,27,gray Bob perm,gray Bob perm,gray Bob perm,5 Grip,orange Gas mask2,UWU,None,None,Sun yellow,Orange,Orange,Orange
5066,0.350997975,KMCXRP#5066,,,FFFFFF,None,Blue,navy Uniform 4,None,None,1,light blue Jimu,None,orange Tiorange,53,orange Long permanent,orange Long permanent,orange Long permanent,1 Piece,None,Tired,None,None,None,Orange,Orange,Orange
5067,0.191509389,KMCXRP#5067,,,FFFFFF,None,Orange,purple Hooded sweatshirt,purple Steampunk,purple Steampunk,2,None,None,yellow Boy,79,yellow Braid,yellow Braid,yellow Braid,2 Grip,pink Zaku,Tired,None,None,None,Green,Green,Green
5068,0.186360526,KMCXRP#5068,,,FFFFFF,pink Lightsaber,Purple,yellow Kimono,yellow Karasu,yellow Karasu,5,None,orange Eye pad,orange Tiorange,53,orange Twin tail,orange Twin tail,orange Twin tail,5 Index finger,pink Gas mask1,Smile,None,None,None,Blue Green,Blue Green,Blue Green
5069,0.069073113,KMCXRP#5069,,,FFFFFF,yellow Flower,Purple,pink Tank top,light blue Headphone1,light blue Headphone1,3,None,yellow Eye pad,marron Wink,40,marron Long,marron Long,marron Long,3 Piece,None,Neutral,None,light blue Kitsune masuk,None,Orange,Orange,Orange
5070,0.929377549,KMCXRP#5070,,,FFFFFF,None,Purple,yellow OL,None,None,5,None,red Scouter,black Boy,1,black Long,black Long,black Long,5 Piece,None,Happy,None,None,None,Pink,Pink,Pink
5071,0.796644262,KMCXRP#5071,,,FFFFFF,None,Pink,navy Sukajan,None,None,4,navy Jimu,None,red Wink,66,red Short,red Short,red Short,4 Grip,yellow Steampunk,Candy,None,None,None,Yellow,Yellow,Yellow
5072,0.812549371,KMCXRP#5072,,,FFFFFF,None,Light Blue,yellow T-shirt,None,None,5,None,None,brown Round,14,brown Bob,brown Bob,brown Bob,5 Ring,None,Surprised,None,None,None,Blue,Blue,Blue
5073,0.675483203,KMCXRP#5073,,,FFFFFF,None,Purple,green T-shirt,purple jimu,purple jimu,5,blue green Jimu,None,black Soft,1,black Bob,black Bob,black Bob,5 Piece,orange Zaku,UWU,None,None,None,Blue,Blue,Blue
5074,0.081917063,KMCXRP#5074,,,FFFFFF,None,Purple,yellow T-shirt,blue green Headphone1,blue green Headphone1,3,None,red Scouter,black Eyelashes,1,black Shaggy,black Shaggy,black Shaggy,3 Palm,None,Happy,None,None,None,Red,Red,Red
5075,0.047481285,KMCXRP#5075,,,FFFFFF,None,Yellow2,yellow Uniform 7,green jimu,green jimu,3,None,Green AR Glasses,red Tired,66,red Princess,red Princess,red Princess,3 Ring,None,UWU,None,None,None,Green,Green,Green
5076,0.921628848,KMCXRP#5076,,,FFFFFF,None,Yellow2,orange Jersey,None,None,4,pink Gandamu,None,red Boy,66,red Bob,red Bob,red Bob,4 Palm,Green Steampunk,Tired,None,None,Sun red,Blue,Blue,Blue
5077,0.192262458,KMCXRP#5077,,,FFFFFF,None,Green,light blue Kimono,None,None,3,None,navy Eye pad,marron Drooping,40,marron Bob,marron Bob,marron Bob,3 Ring,blue green Gas mask1,Tongue,None,None,None,Orange,Orange,Orange
5078,0.641964132,KMCXRP#5078,,,FFFFFF,None,Purple,yellow Uniform 3,None,None,2,pink Zaku,None,marron Soft,40,marron Long permanent,marron Long permanent,marron Long permanent,2 Palm,blue green Normal,Happy,None,None,None,Green,Green,Green
5079,0.682727642,KMCXRP#5079,,,FFFFFF,light blue Planet,Green,pink Uniform 10,None,None,1,yellow Gandamu,None,gray Drooping,27,gray Long permanent,gray Long permanent,gray Long permanent,1 Ring,Green Gandamu,Smile,None,None,Sun blue green,Light Blue,Light Blue,Light Blue
5080,0.710910703,KMCXRP#5080,,,FFFFFF,None,Light Blue,blue Shirt,None,None,2,green Zaku,None,brown Round,14,brown Long permanent,brown Long permanent,brown Long permanent,2 Ring,blue green Gas mask3,Tired,None,None,None,Light Blue,Light Blue,Light Blue
5081,0.653628065,KMCXRP#5081,,,FFFFFF,None,Blue,green Jersey,orange Steampunk,orange Steampunk,5,None,None,yellow Eyelashes,79,yellow Bob,yellow Bob,yellow Bob,5 Palm,None,Smile,None,None,None,Blue,Blue,Blue
5082,0.601698046,KMCXRP#5082,,,FFFFFF,red Gun,Pink,red Uniform 8,purple Zaku,purple Zaku,4,None,navy Cyber,orange Eyelashes,53,orange Long,orange Long,orange Long,4 Piece,None,UWU,None,None,None,Navy,Navy,Navy
5083,0.936658971,KMCXRP#5083,,,FFFFFF,None,Green,pink Overall,None,None,4,None,None,brown Rounded,14,brown Twin tail,brown Twin tail,brown Twin tail,4 Ring,None,UWU,None,None,None,Purple,Purple,Purple
5084,0.010999118,KMCXRP#5084,,,FFFFFF,None,Light Blue,light blue Uniform 9,None,None,5,navy Steampunk,navy Eye pad,gray Serious,27,gray Short,gray Short,gray Short,5 Ring,None,Sleepy,None,yellow Kitsune masuk,Glitter,Blue,Blue,Blue
5085,0.87097685,KMCXRP#5085,,,FFFFFF,None,Blue Green,yellow Uniform 8,blue green Headphone1,blue green Headphone1,5,None,None,brown Serious,14,brown Dango,brown Dango,brown Dango,5 Piece,purple Karasu,Smile,None,orange Nou mask,None,Purple,Purple,Purple
5086,0.674239419,KMCXRP#5086,,,FFFFFF,None,Yellow,orange Kimono,pink Zaku,pink Zaku,4,None,navy Gandamu,orange Round,53,orange Princess,orange Princess,orange Princess,4 Ring,None,Neutral,None,None,Sun blue,Light Blue,Light Blue,Light Blue
5087,0.748437301,KMCXRP#5087,,,FFFFFF,None,Blue Green,orange Uniform 2,None,None,5,None,purple Zaku,black Keen,1,black Braid,black Braid,black Braid,5 Grip,None,Neutral,None,None,None,Navy,Navy,Navy
5088,0.805633959,KMCXRP#5088,,,FFFFFF,None,Red,red Uniform 4,orange Zaku,orange Zaku,4,None,None,gray Shaped,27,gray Princess,gray Princess,gray Princess,4 Ring,None,UWU,None,None,None,Purple,Purple,Purple
5089,0.002330261,KMCXRP#5089,,,FFFFFF,None,Red,green Uniform 10,None,None,4,None,light blue Eye pad,yellow Soft,79,yellow Long,yellow Long,yellow Long,4 Palm,None,Serious,None,None,Sun blue,Blue,Blue,Blue
5090,0.551874084,KMCXRP#5090,,,FFFFFF,None,Orange,yellow Uniform 2,red Karasu,red Karasu,4,None,None,yellow Eyelashes,79,yellow Short,yellow Short,yellow Short,4 Grip,blue Karasu,Sleepy,None,None,None,Blue,Blue,Blue
5091,0.116678421,KMCXRP#5091,,,FFFFFF,None,Blue Green,purple Sukajan,purple jimu,purple jimu,4,None,blue Cyber,gray Keen,27,gray Bob perm,gray Bob perm,gray Bob perm,4 Index finger,blue Gas mask2,UWU,None,None,None,Green,Green,Green
5092,0.841096168,KMCXRP#5092,,,FFFFFF,light blue devil's feather,Blue Green,orange Tank top,light blue Headphone1,light blue Headphone1,5,None,blue green AR Glasses,marron Boy,40,marron Bob,marron Bob,marron Bob,5 Grip,None,Smile,None,None,None,Light Blue,Light Blue,Light Blue
5093,0.805618137,KMCXRP#5093,,,FFFFFF,None,Pink,light blue China,None,None,3,None,None,orange Wink,53,orange Bob,orange Bob,orange Bob,3 Grip,None,Candy,None,None,None,Navy,Navy,Navy
5094,0.594797255,KMCXRP#5094,,,FFFFFF,navy Flower,Green,blue Uniform 2,purple jimu,purple jimu,3,None,None,red Serious,66,red Short,red Short,red Short,3 Ring,None,Tongue,None,None,None,Pink,Pink,Pink
5095,0.789972884,KMCXRP#5095,,,FFFFFF,yellow Controller,Yellow2,yellow Jersey,navy Zaku,navy Zaku,4,purple Zaku,navy Eye pad,red Eyelashes,66,red Bob perm,red Bob perm,red Bob perm,4 Piece,orange Steampunk,Smile,None,pink Nou mask,None,Purple,Purple,Purple
5096,0.552257162,KMCXRP#5096,,,FFFFFF,None,Yellow2,blue Uniform 9,None,None,2,None,None,brown Soft,14,brown Bob perm,brown Bob perm,brown Bob perm,2 Index finger,None,Serious,None,None,None,Green,Green,Green
5097,0.747462635,KMCXRP#5097,,,FFFFFF,None,Blue Green,light blue Sukajan,None,None,1,None,None,marron Boy,40,marron Long permanent,marron Long permanent,marron Long permanent,1 Palm,None,Sleepy,None,green Kitsune masuk,None,Red,Red,Red
5098,0.427947306,KMCXRP#5098,,,FFFFFF,red Fish,Light Blue,orange Jersey,None,None,3,None,None,yellow Serious,79,yellow Bob perm,yellow Bob perm,yellow Bob perm,3 Grip,None,Happy,Tear,None,None,Red,Red,Red
5099,0.016291601,KMCXRP#5099,,,FFFFFF,navy Fish,Blue Green,green Uniform 1,None,None,2,None,None,yellow Eyelashes,79,yellow Twin tail,yellow Twin tail,yellow Twin tail,2 Ring,None,Candy,None,None,None,Blue,Blue,Blue
5100,0.91614206,KMCXRP#5100,,,FFFFFF,None,Purple,yellow Uniform 7,None,None,1,None,orange AR Glasses,black Rounded,1,black Shaggy,black Shaggy,black Shaggy,1 Palm,None,Sleepy,None,None,None,Pink,Pink,Pink
5101,0.936975453,KMCXRP#5101,,,FFFFFF,None,Red,blue greenUniform 3,None,None,3,None,red Zaku,orange Tiorange,53,orange Long,orange Long,orange Long,3 Grip,None,Tired,Tattoo,None,None,Light Blue,Light Blue,Light Blue
5102,0.197912676,KMCXRP#5102,,,FFFFFF,blue green devil's feather,Purple,orange T-shirt,None,None,2,red Gandamu,None,brown Boy,14,brown Long permanent,brown Long permanent,brown Long permanent,2 Ring,None,Happy,None,None,None,Purple,Purple,Purple
5103,0.387683676,KMCXRP#5103,,,FFFFFF,None,Orange,yellow Uniform 3,blue Zaku,blue Zaku,2,None,None,yellow Keen,79,yellow Twin tail,yellow Twin tail,yellow Twin tail,2 Ring,blue green Gas mask1,Tired,None,None,None,Pink,Pink,Pink
5104,0.258916631,KMCXRP#5104,,,FFFFFF,None,Red,green T-shirt,pink Headphone1,pink Headphone1,1,None,None,brown Boy,14,brown Long,brown Long,brown Long,1 Piece,orange Steampunk,Candy,None,None,None,Light Blue,Light Blue,Light Blue
5105,0.933182595,KMCXRP#5105,,,FFFFFF,None,Orange,blue Uniform 10,pink Steampunk,pink Steampunk,4,green Jimu,None,marron Shaped,40,marron Princess,marron Princess,marron Princess,4 Ring,None,Sleepy,None,None,None,Purple,Purple,Purple
5106,0.047559967,KMCXRP#5106,,,FFFFFF,orange Gun,Blue Green,pink Uniform 10,None,None,2,light blue Zaku,None,black Keen,1,black Bob,black Bob,black Bob,2 Grip,None,Tired,None,None,None,Light Blue,Light Blue,Light Blue
5107,0.911400237,KMCXRP#5107,,,FFFFFF,None,Blue Green,light blue Uniform 6,yellow Headphone2,yellow Headphone2,4,green Zaku,light blue Karasu,yellow Cat,79,yellow Twin tail,yellow Twin tail,yellow Twin tail,4 Piece,yellow Karasu,Neutral,None,None,None,Green,Green,Green
